algorithm,expression_str
baseline,-sinh(2*x - 5) + asin(x)**(-3)
baseline,-sin(exp(x - 5)/tanh(5) + 5)
baseline,asin(x)/atan(sinh(5**exp(-3)))
baseline,1/(x*(-4*x + 4*tan(x) + 20)**5)
baseline,exp(cos(2*sqrt(asin(x**2))))
baseline,-sinh(1/(-x/3 + 3/x))
baseline,tanh((-2)**(cosh(x) - 2)) - 5
baseline,4**(sinh(3*sinh(x)/5) + 1)
baseline,atan(x**(5*x**2))
baseline,-x + cos(sinh(x)) + 2 + cosh(2)
baseline,-(2*3**(x - 4) + 6)/x
baseline,x + log(x) - 1
baseline,x - tanh(sin(tanh(x))) + 4
baseline,-atan(cosh(x - sinh(atan(x))))
baseline,x + (-2*x - 3)*(x + 1)
baseline,(-sin(x) - atan(x) + 4)/cos(x)
baseline,2*5**log(x*(2 - asin(4)))
baseline,-8*x*x**tanh(x) + x
baseline,-cos(x) - 3 + tan(2)
baseline,-x
baseline,-asin(6/(5*x))
baseline,sinh((x + 9)**x + 3)
baseline,tan(cos(x - 1))
baseline,(x + 2)*(-5**x + cosh(x) + 2)
baseline,x/sin(4)**sin(x**x)
baseline,(atan(4)/x)**(-sin(4) + cosh(5))
baseline,asin(asin(x))**2/atan(x + 2)**2
baseline,x*cos(x*sqrt(cosh(x))) + x
baseline,-x - 13/4
baseline,(-1)**(cos((-1)**(x*tanh(x)))/x)
baseline,x*(-2 + 5/x)
baseline,-x - x/atan(x)
baseline,2/(-(-5)**x/2 + x**4 + 2)
baseline,-2/atan(4 + 4/x**2)
baseline,(-1/sin(sinh(2)))**(x**x)
baseline,x + cos(5*x + 12)**x
baseline,4**(-x**3*tan(4/x)**3/64)
baseline,2*(x - (x**x)**x)**(4 - x)
baseline,exp(cosh(4/(x - 2)))
baseline,(3 - 3*x)/(x*(x + 12))
baseline,(-x/tan(sin(5)))**(5/2 - x)
baseline,tan(exp(x))/(x*(2*x + 4))
baseline,-x/(log(x)**5*cosh(5)**5)
baseline,x*log(x)/(2*cosh(x))
baseline,log(x**2)
baseline,(1/16)**(-4*x**2 - 2)
baseline,sinh(4*sin(x)/5)
baseline,(-4*x - 4*asin(5))/sqrt(1 - x)
baseline,-x + exp(E)
baseline,-x - cosh(3)**x - 5
baseline,x**(-x + x**x)
baseline,x
baseline,2*x*(-x + sinh(sinh(1)) + 5)
baseline,x*(x - x**exp(-4))/5
baseline,-x*x**(1 - x) - 4
baseline,4**(x*(-x**x + cos(log(4))))
baseline,log(-5*x)
baseline,x**x - 3/(x - tanh(sin(2)))
baseline,-4*tanh(x)**(x - 4)
baseline,x*log(cos(1))/2 + x - 5/2
baseline,(-x + x**x)/sqrt(tanh(x)**x)
baseline,2*x - sinh(tanh(x)) - 5
baseline,-(3 - x)/x
baseline,-2*x - 1 + asin(3)
baseline,3*x + x/(5*(-x + atan(x)))
baseline,x/tanh(11) + cos(1)
baseline,x*tanh(tan(x)) + 2
baseline,asin(log(-sin(3)/x))
baseline,-(-4)**((x + tanh(x) + 1)/x)
baseline,(x - 4)**((x/x**(2*x))**x)
baseline,-15*x**x/(16*x)
baseline,-asin(x + 25)
baseline,-288*sqrt(3)*sqrt(-x**5) + 4
baseline,-x**2*cosh(sinh(4))
baseline,(-x - 2)*(x*exp(-4) - 4)
baseline,atan(6*3**(1/3)*x) + 2
baseline,cos(exp(x/5 + sinh(x)/5))
baseline,-exp(243 - x)/(5*x)
baseline,-x + sinh(exp(cos(x**(-1/8))))
baseline,(-x/4)**(-4**x)
baseline,(-2*x + x**cos(x))*cosh(1)
baseline,-x - asin(4 - 1/x**2) - 1
baseline,(-5)**(4 - x)
baseline,4*x*tan(2)/cos(2)
baseline,(-x + cos(x) + 4)/x
baseline,3 - atan(x)**cos(cos(sinh(4)))
baseline,-x + 4/x
baseline,2*cos(sqrt(x))/x**2
baseline,x*(2**x + x - 1 - pi/4)
baseline,(exp(-3) + sinh(3)/5)**x/x
baseline,x + sin(x - 4) - 1/27
baseline,exp(-x - tanh(1)/x) - exp(-5)
baseline,x**3/(2*tan(5)**3) + 7
baseline,(-tanh(2)*asin(3))**(x + tanh(x))
baseline,x/((-sin(4))**x + 2)**3
baseline,x**2/(24*sin(5))
baseline,(2*x)**(sinh(log(x))/(x - 3))
baseline,tanh(5/(3 - (1 - atan(x))/x))
baseline,x/3 + atan(x)/3 - 2/3
baseline,x**(x**exp(x))*cosh(sinh(x))
baseline,x**((-3/x**cos(5))**x)/x
baseline,log(sinh(exp(x))**(x**(3/2)))
baseline,(x + 4)**(x**2)/5
baseline,sqrt(x)/(2 - tan(x))
baseline,sinh(exp(3**x)/(-atan(2))**x)
baseline,-x + x**atan(x) - 2*exp(-5)
baseline,5*asin(4/x)
baseline,2*x**((-3)**(x + 1) - 1)
baseline,-4*x**4 - 3/cos(x)
baseline,asin(asin(sqrt(5)))/x**2
baseline,x**2 + sinh(x + 6) + 5
baseline,2*x + exp(-5) - (-1)**tanh(4)
baseline,-exp(x - cosh(x) + 3) + tan(x)
baseline,x**2*asin(9)
baseline,x + cos((x + 3)/sin(4))
baseline,log(x*(6 - x/2))
baseline,x + (-x + tanh(x))/(x + sin(x))
baseline,1 + 1/(2*x*tanh(x))
baseline,(-4/(x*cos(1) + x - 5))**x
baseline,atan(x)/((atan(x) + 5)*atan(2))
baseline,-4096*x**(3*cos(x))
baseline,-sqrt(-x)*sqrt(atan(3)) + 4
baseline,(81*x**4 + 4)**4
baseline,log(sinh(cosh(x)) + 3)**(1/4)
baseline,-5*sinh(cosh(x))*atan(x**2)
baseline,sqrt(sinh(x - asin(x))/(-x - 2))
baseline,cos(sin(x + cos(sinh(5))**5))
baseline,x**x/(-x + (x + 5)**(-5))**5
baseline,tan(x*(sqrt(x) + 3)) + 2
baseline,sin(-exp(asin(x)) + 1 + log(4))
baseline,1/(x**atan(sin(6))*cos(x))
baseline,-sin(3*x + 1)
baseline,asin(sqrt(atan(atan(x**4))) - 3)
baseline,x*x**atan(sqrt(x))/3
baseline,log(log(x + 5/x))
baseline,-x/4 + 3*tan(x)/2
baseline,x - sqrt(cos(exp(atan(tan(x)))))
baseline,cosh(x) - 3 + 4/(x*tan(x))
baseline,x*((-x + atan(5))**x)**(pi/2)
baseline,sqrt(x*(x + 1))*(x + 5)
baseline,-3*tan((tan(x) + 2)**x)
baseline,-(cos(4) + 6)**x - 2
baseline,cos(x*asin(x) + exp(atan(x)))
baseline,x*(x*sin(x) + x + 4)
baseline,2*x + x**x
baseline,exp(x)**(x*cos(x)**16)
baseline,x/tan(log(sinh(x)))
baseline,sqrt(x - 1)/2
baseline,16*3**(x/(20 - x))
baseline,-sqrt(cosh(x))/x
baseline,-tanh(log((-tanh(15))**x))
baseline,(-5)**x*asin(asin(x)) + x + 1
baseline,(x*x**(-x**x - 1))**(2/x)
baseline,(tan(x) + 2)*sin(x - 7)
baseline,sinh(exp(x) - 5)*cosh(x)
baseline,-x/4 + (x - 5)**x
baseline,(3*exp(x)/2 + 1)*cos(x)
baseline,x**2 - 1
baseline,-sinh(x)*sinh(x - 2)
baseline,x*sqrt((3 - cos(2*x))**2)
baseline,x/atan(x + 1)**4
baseline,tan(cosh(x))/(4 - x)
baseline,-atan(cosh(x) + 2) - 3
baseline,x/(4*(x - 3)) + tan(x)/4
baseline,cos(log(x - 4) - 5)
baseline,x*(3*sqrt(x) + x**x - 15)
baseline,2*x + 2*atan(x) - 2
baseline,-x - 3/(625*x**2)
baseline,exp(exp(sin(x) + 3*tan(x)))
baseline,-2/(x*(-1 + x**(-2)))
baseline,tanh(tan(log(x))/(x - 3/5))
baseline,-x**atan(x) + cos(1/(x + 3))
baseline,log(log(x)/(x + 1))
baseline,(x - 4)*tan(5)/4
baseline,-4*sin(exp(tan(x)))/atan(x)
baseline,2*x - exp(x)**(x**x)
baseline,(x**(-5))**log(exp(x))
baseline,x*tan(x)*tanh(atan(sqrt(5)))
baseline,-exp(-4*cos(x))*cosh(x)
baseline,x + (-tan(x + 1))**(-x/3 - 2)
baseline,tan(-x + log(x) + 2/x)
baseline,(x + x**(-atan(1/x)))**x
baseline,-sinh((-2*x)**x)
baseline,(exp(2/x) - sinh(5))*exp(-x)
baseline,sqrt(log(asin(x))**2/x)/4
baseline,1/(exp(x - 2) - sin(1))
baseline,1/x
baseline,sqrt(x)*tan(x)/9
baseline,-x*atan(5*sin(3)) + tan(1)
baseline,(x**(-5*log(2)/x))**(2**x)
baseline,exp(((x + tan(4))/x)**x)
baseline,(cosh(x) + 5/tan(x))**x
baseline,exp(5**(5 - x)*(x + atan(x)))
baseline,asin(sqrt(sqrt(x) + x))
baseline,exp(3*x - 3)
baseline,-(-3)**asin(x - 3)/cos(1)
baseline,-(-5)**x/5
baseline,1/(x + exp(3*x))
baseline,asin(tanh(x**2/(4*cos(2)**2)))
baseline,4**(exp(-x)**x)
baseline,4**(-1/sinh(cos(x))**2)
baseline,atan(81/cos(x/5)**4) + 2
baseline,-1/(x - 4 - log(2))
baseline,log(x)**((-x)**x*(x - 5))
baseline,sinh(x) + cosh(3**(x**x))/2
baseline,x + sqrt(x/sin(x**2)) + 2
baseline,-3/(4*x*((-2)**x)**(1/4))
baseline,sqrt(x/x**(4**sin(sin(x))))
baseline,-x + sqrt(x*exp(sqrt(-x)))
baseline,x**(1/4) - 2
baseline,(5*tanh(x - 3) + 20)/tanh(x)
baseline,-4 + cosh(2)/tan(x - 5)
baseline,x**(sinh(x)**sinh(2 + cosh(3)))
baseline,6**x*(x + asin(x))
baseline,1/(cos(3)*sinh(cos(4)/x))
baseline,log(x**(-2))/(x + tanh(x) - 1)
baseline,tanh(2*x) + 1
baseline,x**(-atan(4))
baseline,cosh(cos(x)**(2*x) + 3)
baseline,sinh(asin(2*tanh(2*x)))
baseline,x*sinh(cos(sqrt(2)/2))/5
baseline,-x + 20/asin(2 - cos(2))
baseline,x*(-x*sin(sqrt(-x)) + x)
baseline,sinh(x)**(cosh(2)/2)/x
baseline,5/(-tanh(x)*asin(2) + 3)
baseline,sqrt(sinh(x*(x - cosh(pi/2))))
baseline,(x/4 + sin(x)/4)**(-5)
baseline,(4**(x**3*cosh(x)**3))**atan(x)
baseline,x**(x + (-3/x)**(-5**x + x))
baseline,(2*x + 3)*exp(-x)*tanh(3)
baseline,x*atan(x + 3)
baseline,-2*x - 2*sinh(cosh(x))
baseline,sqrt(6*(-3)**x - 6*x) + 1
baseline,exp(asin(cos(tanh(x/5) - 4)))
baseline,-cos(x**x) - 1/x**3
baseline,(x + tan(x))*cos(sqrt(x)/5)
baseline,log(sqrt(x)*asin(x**2)) - 4
baseline,x/x**log(cos(sinh(x) - 5))
baseline,-log(x) + asin(asin(2))
baseline,cosh(2*x + sinh(x - asin(x)))
baseline,atan(3)**(-sin(5)*asin(x) + 2)
baseline,cos(asin(3)**(2*x + 2))
baseline,4/tanh(x - 1/x**sinh(5))
baseline,x/(-x + sinh(2)) - cosh(x - 2)
baseline,(-1)**(1/152587890625)*x*sin(2)**(305175781251/152587890625)
baseline,tan(x)/5 - sqrt(tan(log(x)))
baseline,tanh(x)/(-(-1)**x - 3)
baseline,-asin(x**2 - sqrt(tanh(x**x)))
baseline,-x**2*(x + 1)/2
baseline,(-3*tan(x))**(2 - x**cos(2))
baseline,cosh(x**2/sinh(x**(-3)))
baseline,3**x*(-atan(3) - asin(2))
baseline,4 - sin(x)**4
baseline,x**(-5*(x + 4)/x**2)
baseline,(4 - x)*cos(x**x) - asin(2)
baseline,x/sinh(tanh(x - log(4))**x)
baseline,(-4)**(2*x + 1)
baseline,1 + cosh(1)**sinh(x)/x**2
baseline,x*(-5 - pi/(4*x))
baseline,x**tanh(asin(x))/(x*(x + 4))
baseline,x + asin(exp(asin(x - 4))) + 1
baseline,-log(tan(1)**x)*sinh(5/x)
baseline,-exp((-10/x)**x) - 2
baseline,x*sinh(2*x/tanh(x))/2
baseline,(-1)**log(-tanh(4 - 1/(x - 5)**2))
baseline,sqrt(-(x/2)**x/sin(1) + 5)
baseline,sinh(tan(4)/(32*(x - 2)))
baseline,-x - 2/x
baseline,(-3)**(-x*tan(5*x + sinh(4)))
baseline,log(44*exp(x))
baseline,exp(atan(2**(x**atan(x))*x))
baseline,5*cos(x*exp(x*(5 - x)))
baseline,sqrt(x)*(x + 3*sinh(x) + 9)
baseline,x*tanh(x + log(cosh(1)))
baseline,-x + (2*atan(cos(2)))**x
baseline,(-3 - 4/pi)*cos(x)
baseline,sqrt(x) - tanh(4) - 3/cos(x)
baseline,exp(-x + sin(x) - 1)
baseline,-(-1)**(4*x)*cosh(x - 4)
baseline,x + x**(sqrt(x)*sqrt(asin(x)))
baseline,x + log(4)
baseline,x + log(x - 8)**(x + 2)
baseline,-2*x*sinh(20*x)
baseline,x + (-tan(2)**4 - 2)**(x - 4)
baseline,x**((-5)**x/x - 5*x)/3
baseline,-(x + 2)**x - atan(2)
baseline,x/(-x + sin(x - 1))
baseline,(2*x)**(x*(6 - sin(x)))
baseline,(-4)**(2*(x + 2)**x/x)
baseline,(x + asin(10*x))*exp(3)
baseline,log(-sin(x) + 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096/x)
baseline,x**(x - (-x - atan(3) + 4)/x)
baseline,cos((x + x/atan(x))**x - 1)
baseline,x*sqrt(1 - tanh(tan(log(x)))**2)
baseline,(x**3 + 2*x)*tan(3)
baseline,-1/(16*x)
baseline,(-pi/4)**(3*atan(x))
baseline,(-2 + 45/2**x)**5
baseline,4*x*(-tan(x) - 1)
baseline,log((-asin(5))**x) - tan(4)
baseline,x + (-1)**sin(1)
baseline,x + sinh(x)**(2/x)
baseline,x - (x**2 - 5)*asin(tanh(1))
baseline,asin(x**2 + x + 1)
baseline,(-3*sinh(4))**(2*x)/x
baseline,(-4)**(x**(2*x*sinh(2)/pi))
baseline,tanh(x) - sinh(2)
baseline,x + asin(x/(x + 4))/(2*x)
baseline,-2*x + 2*sqrt(3)*x/3
baseline,x + cos(x**x)
baseline,-x**x + (3 - x/5)/x
baseline,x**(2*x - log(x))
baseline,atan(log(-log(x**(3*x))))
baseline,3**(cos(x*log(2*x))/2)
baseline,x + sin(2) + 3
baseline,x + cos(exp(-3 + tan(3)))/x
baseline,atan((-2)**cos(x/tan(x/4)))
baseline,(-2)**(-atan(4/(7*asin(x))))
baseline,x*x**x*(6 - sinh(2))
baseline,-x*exp(-5) + atan(5)/x
baseline,sinh(x**(4*x/5))**5
baseline,-atan(x - 4)/2 - 3/2
baseline,-sqrt(cos(x**x)) + cosh(exp(2))
baseline,(-4)**sinh(5/asin(x))
baseline,-(-1)**x + x - sin(x) + 4
baseline,x**(tanh(x + exp(x)) - 8)
baseline,asin((x*(x + 5)/3)**sin(x))
baseline,9/cos(x)
baseline,4 - 4*atan(sinh(x)**(-x - 4))
baseline,x**x
baseline,2*sqrt(-x**(x + exp(exp(-4))))
baseline,-(5 - x)/tan(x) + sinh(2)
baseline,sqrt(3)*(x - cosh(exp(x)) + 2)/3
baseline,asin(4/(4*atan(x) + 1)) - 4
baseline,-2 - x**(4*x)/x**4
baseline,x - (-x/2 - 1/2)/x
baseline,sqrt(x*(tan(sinh(x)) - 2))/x
baseline,-x + (x**atan(x))**x + cosh(4)
baseline,x/log(-3 + tan(x)**x/x)
baseline,sinh(sqrt(cos(sin(4)))/sinh(x))
baseline,x + cosh(x**(x - 1) - 9)
baseline,(-3)**(x*(x + asin(x) - 4))
baseline,(-5)**(-x - 1 + x**(-3))*x**2
baseline,-sinh(atan(2))/asin(cos(4)**x)
baseline,x*x**(2*x + x**(x/3))
baseline,(exp(-x)*tan(x))**x
baseline,-(-5)**(8*x/3) - 3
baseline,(-4*x - 5)*tan(1)**x
baseline,x*(-2**log(2)*sin(2) + 5)
baseline,-sinh(tanh(x*atan(sinh(asin(4)))))
baseline,(2*x/cos(x))**x - log(x)
baseline,x**2/sinh(atan(x**2) + 5)
baseline,(-20)**exp(32*x**10)
baseline,2*x - sin(sin(x**2) + 3)
baseline,16*x**(2*x - 2)/x
baseline,x
baseline,cos(2) - 1/x**(1/(6 - x))
baseline,(-sin(1))**(2*x - 8)
baseline,-x + asin(4/x) + 16
baseline,0**(x + exp(x*(x - 1)))
baseline,-2*x + tan(log(x)) + 3
baseline,1 - 2*tan(3)/(5*x**2)
baseline,-tan(x - 3 + sinh(5))
baseline,-tanh(sqrt(x + 1)) - 1
baseline,-5 - 5*x/(-5)**(x/tanh(x))
baseline,atan(tanh(x) - 5)/(5*atan(5))
baseline,x**2*tan(x)
baseline,-x**2 + x + atan(cos(1)) + 2
baseline,4**x/5 - 1/25
baseline,cos(exp(x**tanh(x)))
baseline,x + 28 + 4/sinh(x)**2
baseline,5**(-4*(-3)**(2*x - tan(3)))
baseline,-5*sqrt(x/(x - exp(exp(x))))
baseline,(sinh(2) + 5)/(x - tanh(sqrt(x)))
baseline,-x + asin(3)**atan(cosh(x))
baseline,x + cosh(cos(x)**2) + 7
baseline,cosh(3*x - 3*asin(tan(x)))
baseline,3*x - sinh(4) + 4
baseline,tanh(6) + cosh(asin(x))/x
baseline,-tanh(1)/(x - sin(cosh(x) + 4))
baseline,-x**2 + x
baseline_solvable,-(3*4**(x + 3)*log(4) - 1)/sqrt(1 - (3*4**(x + 3) - x)**2)
baseline_solvable,-(1 - tanh(3*x - 3*atan(x**3))**2)*(-9*x**2/(x**6 + 1) + 3)
baseline_solvable,-3*x*(x**x*(log(x) + 1)/2 + sin(x)/2)/(-x**x + cos(x))**(3/2) - 3/sqrt(-x**x + cos(x))
baseline_solvable,2*tan(2*x + 4 + exp(cosh(3)))**2 + 2
baseline_solvable,((2/(3*x) - (2*x/3 + 2/3)/x**2)*log(x**x) + (2*x/3 + 2/3)*(log(x) + 1)/x)*(x**x)**((2*x/3 + 2/3)/x)
baseline_solvable,(-x**(1 - x)*(-log(x) + (1 - x)/x) - 1)/(x**2*(x + x**(1 - x))**2) - 2/(x**3*(x + x**(1 - x)))
baseline_solvable,-x*(-5*exp(x - 1)*cosh(exp(x - 1))/x + 5*sinh(exp(x - 1))/x**2)/(5*sinh(exp(x - 1)))
baseline_solvable,x**x*(-sin(x**x))**tan(4)*(log(x) + 1)*cos(x**x)*tan(4)/sin(x**x)
baseline_solvable,(x - tan(2))**x*(x/(x - tan(2)) + log(x - tan(2))) + 1
baseline_solvable,(log(-tan(5/2) - 1/(4*x)) + 1/(4*x*(-tan(5/2) - 1/(4*x))))*(-tan(5/2) - 1/(4*x))**x
baseline_solvable,-2*(2 - 5/x**6)/(5*(-2*x - 3 - 1/x**5)**2)
baseline_solvable,-x*(5*log(x)/x**2 - 5/x**2)/(3*x**(5/x)) - 1/(3*x**(5/x))
baseline_solvable,x*(-(log(x**(-3)) - 3)*(x**(-3))**x*exp(-5)*log(x) - (x**(-3))**x*exp(-5)/x)/x**((x**(-3))**x*exp(-5)) + x**(-(x**(-3))**x*exp(-5))
baseline_solvable,(5 - exp(x))/(3*(x - asin(5))**2) + exp(x)/(3*(x - asin(5)))
baseline_solvable,cosh(tanh(5))/(x*sqrt(-(x + 5)**2*cosh(tanh(5))**2 + 1)) - asin((x + 5)*cosh(tanh(5)))/x**2
baseline_solvable,-x*(4 - tanh(x)**2)/3 - x - tanh(x)/3
baseline_solvable,-(1 - tanh(x*tan(5) - 5)**2)*(tan(tanh(x*tan(5) - 5))**2 + 1)*tan(5)
baseline_solvable,(-2*log(-x)/(5*cos(1)) - 2/(5*cos(1)))/(-x)**(2*x/(5*cos(1)))
baseline_solvable,(1/x - (x - 2)/x**2)*sinh((x - 2)/x)
baseline_solvable,-x*exp(x)*sinh(exp(x)) - 4*cos(4*x) - cosh(exp(x))
baseline_solvable,x**(2*x)*(2*log(x) + 2)*(tan(log(x**(2*x) - 1))**2 + 1)/(x**(2*x) - 1)
baseline_solvable,-tan(x)**2 - 1 + 3/(4*x**2)
baseline_solvable,-1 - (-1 + sin(5))*asin(3)/(-x*sin(5) + x)**2
baseline_solvable,1/sqrt(1 - (x - sinh(sqrt(tanh(1))))**2)
baseline_solvable,(-3*sqrt(x)/(4*(sqrt(x) - 2)) - 3*log(sqrt(x) - 2)/2)/(sqrt(x) - 2)**(3*x/2)
baseline_solvable,-8*x*log(-asin(sinh(3)))/(-asin(sinh(3)))**(4*x**2)
baseline_solvable,5*(-(exp(x)/x)**x*(x**2*(exp(x)/x - exp(x)/x**2)*exp(-x) + log(exp(x)/x)) + 1/x)/((exp(x)/x)**x - log(x))**2
baseline_solvable,5*x**4*(1 - tanh(exp(x**5/cosh(tan(5))**5))**2)*exp(x**5/cosh(tan(5))**5)/cosh(tan(5))**5
baseline_solvable,(4/3 - 2/(3*(x**2 + 1)))/(-2*x + atan(x) + 1)**(5/3)
baseline_solvable,3/x
baseline_solvable,4*exp(4)/(16*x**2 + 1)
baseline_solvable,sqrt(5)*(-x/4)**(sqrt(5)/125)/(125*x)
baseline_solvable,1/(2*sqrt(x))
baseline_solvable,-(tan(cos(x))**2 + 1)*sin(x)/(4*(tan(cos(x))**2/16 + 1))
baseline_solvable,(-1 - 1/(2*sqrt(x)))*tanh(x + 2)/(sqrt(x) + x + 2)**2 + (1 - tanh(x + 2)**2)/(sqrt(x) + x + 2)
baseline_solvable,-(1 - tanh(2*sqrt(exp(x)**(-asin(4))))**2)*sqrt(exp(x)**(-asin(4)))*asin(4)
baseline_solvable,((1 + 1/x)*log(exp(1/cos(x))) + (x + log(x))*sin(x)/cos(x)**2)*exp(1/cos(x))**(x + log(x))
baseline_solvable,3*x**x*(log(x) + 1)*(tan(cos(x**x))**2 + 1)*sin(x**x) - 3
baseline_solvable,(4*(x + 4)**3 + 2)/(sqrt(1 - log(2*x + (x + 4)**4)**2)*(2*x + (x + 4)**4))
baseline_solvable,(x*x**(-4**x - 7)*x**(4**x + 7)*(-4**x*log(4)*log(x) + (-4**x - 7)/x) + log(x**(-4**x - 7)))*(x**(-4**x - 7))**x + 1
baseline_solvable,(1 - tanh(sqrt(exp(4*x) + sinh(x)))**2)*(2*exp(4*x) + cosh(x)/2)/sqrt(exp(4*x) + sinh(x))
baseline_solvable,-10*2**((x**2 + 1)**5)*x*(x**2 + 1)**4*log(2)/sqrt(1 - (2**((x**2 + 1)**5) - 3)**2)
baseline_solvable,(-1 - log(5)/(4*5**(x/4)))*(sin(x) - 3) + (-x + 5**(-x/4))*cos(x)
baseline_solvable,cos(x - 7 + tan(1))
baseline_solvable,(x*sin(x)/cos(x)**2 + 1/cos(x))*sin(x/cos(x) + 2)
baseline_solvable,-(x + 1)*(tan(x)**2 + 1) + tan(x)**2 - tan(x) + 1
baseline_solvable,-2*(1 + 1/sqrt(1 - x**2))/x**x - 2*(x + asin(x))*(-log(x) - 1)/x**x
baseline_solvable,(-5/(x/4 + 6))**x*(5*x*(-x/20 - 6/5)/(4*(x/4 + 6)**2) + log(-5/(x/4 + 6)))
baseline_solvable,(1 + 4/(x**2*sqrt(1 - 16/x**2)))*(tan(x - asin(4/x))**2 + 1)
baseline_solvable,-5*cosh(x)*cosh(sinh(x))/(sinh(sinh(x)) + sinh(cosh(1)))**2
baseline_solvable,x**(2*x - atan(5))*(2*log(x) + (2*x - atan(5))/x)/x - x**(2*x - atan(5))/x**2
baseline_solvable,5**(5**atan(tan(5)/5)*x)*5**atan(tan(5)/5)*log(5)
baseline_solvable,x*(x*x**x*(log(x) + 1) + x**x)*exp(cos(x*x**x))*sin(x*x**x) - exp(cos(x*x**x))
baseline_solvable,-exp(x)
baseline_solvable,(-4 + asin(2))*cosh(x + x*(-5 + asin(2)) + 4)
baseline_solvable,-5*exp(5*x)
baseline_solvable,cos(log(3*x) - 5/2)/x
baseline_solvable,-12 + 3/x
baseline_solvable,log(2)*sin(log(-2**x))
baseline_solvable,((4*x/(2*x - 2)**2 - 2/(2*x - 2))*log(x) - 2/(2*x - 2))/x**(2*x/(2*x - 2))
baseline_solvable,(x*cosh(x))**atan(log(2))*(x*sinh(x) + cosh(x))*atan(log(2))/(x*cosh(x))
baseline_solvable,-x/2
baseline_solvable,2*x**2/(x - 1/2)**2 - 4*x/(x - 1/2)
baseline_solvable,2*cos(x + 5)/(x + 8) - 2*sin(x + 5)/(x + 8)**2
baseline_solvable,3*(2*tan(2*x)**2 + 2)/sin(x) - 3*cos(x)*tan(2*x)/sin(x)**2
baseline_solvable,(1 - 1/x**2)*(sin(x) + atan(x)) + (x + 1/x)*(cos(x) + 1/(x**2 + 1))
baseline_solvable,-x**((x - 1)*asin(x))*((asin(x) + (x - 1)/sqrt(1 - x**2))*log(x) + (x - 1)*asin(x)/x)
baseline_solvable,x/(2*sqrt(x - sinh(atan(cosh(1))))) + sqrt(x - sinh(atan(cosh(1))))
baseline_solvable,(x*atan(1/2187))**x*(log(x*atan(1/2187)) + 1) + 1
baseline_solvable,-exp(x)*cos(exp(x)) + 1/5
baseline_solvable,x**(-x + asin(x))*((-1 + 1/sqrt(1 - x**2))*log(x) + (-x + asin(x))/x) + 1
baseline_solvable,x**(x + cos(1/atan(tanh(1))))*(log(x) + (x + cos(1/atan(tanh(1))))/x)
baseline_solvable,-cos(cosh(x/2) + 2*tan(3))*sinh(x/2)/2
baseline_solvable,-1/(2*sqrt(-x - 1))
baseline_solvable,(-4/atan(x))**x*(-x/((x**2 + 1)*atan(x)) + log(-4/atan(x)))*exp(x - 3) + (-4/atan(x))**x*exp(x - 3)
baseline_solvable,5**x*(log(x**4) + 4)*(tan((x**4)**x)**2 + 1)*(x**4)**x + 5**x*log(5)*tan((x**4)**x)
baseline_solvable,-(x/2)**x*(log(x/2) + 1)/2 - 1/2
baseline_solvable,((2*x + 1)*asin(x)/3 + (x**2 + x)/(3*sqrt(1 - x**2)))/((x**2 + x)**2*asin(x)**2/9 + 1)
baseline_solvable,-1/(x**2 + 1)
baseline_solvable,(tan(sin(x))**2 + 1)*exp(3)*cos(x)/(log(tan(sin(x)))*tan(sin(x)))
baseline_solvable,(5*x*sin(x)/cos(x) + log(cos(x)**(-5)))*(tan((cos(x)**(-5))**x)**2 + 1)*(cos(x)**(-5))**x
baseline_solvable,sin(pi/(4*x))/(x + 4)**2 + pi*cos(pi/(4*x))/(4*x**2*(x + 4))
baseline_solvable,(x*asin(x))**(exp(x - 3)/2)*(exp(x - 3)*log(x*asin(x))/2 + (x/sqrt(1 - x**2) + asin(x))*exp(x - 3)/(2*x*asin(x)))
baseline_solvable,(tan(exp(x/(tanh(1) + 1)**4))**2 + 1)*exp(x/(tanh(1) + 1)**4)/(tanh(1) + 1)**4
baseline_solvable,(x*(-2*sin(2*x) + cosh(x))/(cos(2*x) + sinh(x)) + log(cos(2*x) + sinh(x)))*(cos(2*x) + sinh(x))**x
baseline_solvable,-5*sqrt(log(2*x))/x**2 + 5/(2*x**2*sqrt(log(2*x)))
baseline_solvable,-(tan(x)**2 + 1)*sin(tan(x) - 129/64) + 1
baseline_solvable,-21/(7*x + exp(-5))**2
baseline_solvable,5**asin(x)*log(5)/sqrt(1 - x**2) + 2
baseline_solvable,cosh(x) - 1/4
baseline_solvable,(-3/log(-3*x) + 3/log(-3*x)**2)*log(2)/2**(3*x/log(-3*x))
baseline_solvable,-(exp(x) - 4)*cosh(x)/sinh(x)**2 + exp(x)/sinh(x)
baseline_solvable,-(-cos(x)*cos(sin(x)) - 1)/(x + sin(sin(x)) + 3)**2
baseline_solvable,-(2**x*log(2)*log(cosh(asin(x))) + 2**x*sinh(asin(x))/(sqrt(1 - x**2)*cosh(asin(x))))*cos(cosh(asin(x))**(2**x))*cosh(asin(x))**(2**x)
baseline_solvable,4*cos(cosh(asin(x - tan(x)))**(-4))*tan(x)**2*sinh(asin(x - tan(x)))/(sqrt(1 - (x - tan(x))**2)*cosh(asin(x - tan(x)))**5)
